Q58,Q60,Q62,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q3,Q4,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q3,Q4,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q3,Q4,Q97_1,Q97_2,Q97_3,Q98_1,Q98_2,Q99,Q4,Q101_1,Q101_2,Q101_3,Q102_1,Q102_2,Q103,Q104,Q105_1,Q105_2,Q105_3,Q106_1,Q106_2,Q107,Q108,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q3,Q4,Q113_1,Q113_2,Q113_3,Q114_1,Q114_2,Q115,Q116,Q117_1,Q117_2,Q117_3,Q118_1,Q118_2,Q119,Q120,Q121_1,Q121_2,Q121_3,Q122_1,Q122_2,Q123,Q124,Q125_1,Q125_2,Q125_3,Q126_1,Q126_2,Q127,Q128,Q129_1,Q129_2,Q129_3,Q130_1,Q130_2,Q131,Q132,Q63_1,Q64_1,Q65_1,Q66_1,Q67_1,Q134_1,Q135_1,Q70,Q71,Q73,Q72,SC0
Age,Sex,Education,"The graph you saw in VR showed you the death statistics from Disease X for Blicket county. 






Rate your agreement with the following statements - Upon inspecting the data, I am fearful about the forecasted change in deaths caused by Disease X.","The graph you saw in VR showed you the death statistics from Disease X for Blicket county. 






Rate your agreement with the following statements - Upon inspecting the data, I am worried for the citizens of this county.","The graph you saw in VR showed you the death statistics from Disease X for Blicket county. 






Rate your agreement with the following statements - Upon inspecting the data, I am concerned for the safety for the citizens of this county.","Rate the likeliness of the following statements - Upon inspecting the data, how likely would you be to travel to this county.","Rate the likeliness of the following statements - Upon inspecting the data, how likely would the people in this county come in contact with people who have Disease X.","Based on the forecasted data, do you think in the next month cases will rise, fall, or stay the same?",Please estimate to the best of your ability the slope of the trend line for the shown forecast data.,"The graph you saw in VR showed you the death statistics from Disease X for Dax county.






Rate your agreement with the following statements - Upon inspecting the data, I am fearful about the forecasted change in deaths caused by Disease X.","The graph you saw in VR showed you the death statistics from Disease X for Dax county.






Rate your agreement with the following statements - Upon inspecting the data, I am worried for the citizens of this county.","The graph you saw in VR showed you the death statistics from Disease X for Dax county.






Rate your agreement with the following statements - Upon inspecting the data, I am concerned for the safety for the citizens of this county.","Rate the likeliness of the following statements - Upon inspecting the data, how likely would you be to travel to this county.","Rate the likeliness of the following statements - Upon inspecting the data, how likely would the people in this county come in contact with people who have Disease X.","Based on the forecasted data, do you think in the next month cases will rise, fall, or stay the same?",Please estimate to the best of your ability the slope of the trend line for the shown forecast data.,"The graph you saw in VR showed you the death statistics from Disease X for Wug county.






Rate your agreement with the following statements - Upon inspecting the data, I am fearful about the forecasted change in deaths caused by Disease X.","The graph you saw in VR showed you the death statistics from Disease X for Wug county.






Rate your agreement with the following statements - Upon inspecting the data, I am worried for the citizens of this county.","The graph you saw in VR showed you the death statistics from Disease X for Wug county.






Rate your agreement with the following statements - Upon inspecting the data, I am concerned for the safety for the citizens of this county.","Rate the likeliness of the following statements - Upon inspecting the data, how likely would you be to travel to this county.","Rate the likeliness of the following statements - Upon inspecting the data, how likely would the people in this county come in contact with people who have Disease X.","Based on the forecasted data, do you think in the next month cases will rise, fall, or stay the same?",Please estimate to the best of your ability the slope of the trend line for the shown forecast data.,"The graph you saw in VR showed you the death statistics from Disease X for Osip county.






Rate your agreement with the following statements - Upon inspecting the data, I am fearful about the forecasted change in deaths caused by Disease X.","The graph you saw in VR showed you the death statistics from Disease X for Osip county.






Rate your agreement with the following statements - Upon inspecting the data, I am worried for the citizens of this county.","The graph you saw in VR showed you the death statistics from Disease X for Osip county.






Rate your agreement with the following statements - Upon inspecting the data, I am concerned for the safety for the citizens of this county.","Rate the likeliness of the following statements - Upon inspecting the data, how likely would you be to travel to this county.","Rate the likeliness of the following statements - Upon inspecting the data, how likely would the people in this county come in contact with people who have Disease X.","Based on the forecasted data, do you think in the next month cases will rise, fall, or stay the same?",Please estimate to the best of your ability the slope of the trend line for the shown forecast data.,"The graph you saw in VR showed you the death statistics from Disease X for Fip county.






Rate your agreement with the following statements - Upon inspecting the data, I am fearful about the forecasted change in deaths caused by Disease X.","The graph you saw in VR showed you the death statistics from Disease X for Fip county.






Rate your agreement with the following statements - Upon inspecting the data, I am worried for the citizens of this county.","The graph you saw in VR showed you the death statistics from Disease X for Fip county.






Rate your agreement with the following statements - Upon inspecting the data, I am concerned for the safety for the citizens of this county.","Rate the likeliness of the following statements - Upon inspecting the data, how likely would you be to travel to this county.","Rate the likeliness of the following statements - Upon inspecting the data, how likely would the people in this county come in contact with people who have Disease X.","Based on the forecasted data, do you think in the next month cases will rise, fall, or stay the same?",Please estimate to the best of your ability the slope of the trend line for the shown forecast data.,"The graph you saw in VR showed you the death statistics from Disease X for Gazzer county.






Rate your agreement with the following statements - Upon inspecting the data, I am fearful about the forecasted change in deaths caused by Disease X.","The graph you saw in VR showed you the death statistics from Disease X for Gazzer county.






Rate your agreement with the following statements - Upon inspecting the data, I am worried for the citizens of this county.","The graph you saw in VR showed you the death statistics from Disease X for Gazzer county.






Rate your agreement with the following statements - Upon inspecting the data, I am concerned for the safety for the citizens of this county.","Rate the likeliness of the following statements - Upon inspecting the data, how likely would you be to travel to this county.","Rate the likeliness of the following statements - Upon inspecting the data, how likely would the people in this county come in contact with people who have Disease X.","Based on the forecasted data, do you think in the next month cases will rise, fall, or stay the same?",Please estimate to the best of your ability the slope of the trend line for the shown forecast data.,"The graph you saw in VR showed you the tourism statistics for Blicket county.






Rate your agreement with the following statements - Upon inspecting the data, I am fearful about the forecasted change in tourism.","The graph you saw in VR showed you the tourism statistics for Blicket county.






Rate your agreement with the following statements - Upon inspecting the data, I am worried for the citizens of this county.","The graph you saw in VR showed you the tourism statistics for Blicket county.






Rate your agreement with the following statements - Upon inspecting the data, I am concerned for the safety for the citizens of this county.","Rate the likeliness of the following statements - Upon inspecting the data, how likely are you to recommend changes for tourism in this county.","Rate the likeliness of the following statements - Upon inspecting the data, how likely would people visit this county.","Based on the forecasted data, do you think in the next month tourism will rise, fall, or stay the same?",Please estimate to the best of your ability the slope of the trend line for the shown forecast data.,"The graph you saw in VR showed you the tourism statistics for Dax county.






Rate your agreement with the following statements - Upon inspecting the data, I am fearful about the forecasted change in tourism.","The graph you saw in VR showed you the tourism statistics for Dax county.






Rate your agreement with the following statements - Upon inspecting the data, I am worried for the citizens of this county.","The graph you saw in VR showed you the tourism statistics for Dax county.






Rate your agreement with the following statements - Upon inspecting the data, I am concerned for the safety for the citizens of this county.","Rate the likeliness of the following statements - Upon inspecting the data, how likely are you to recommend changes for tourism in this county.","Rate the likeliness of the following statements - Upon inspecting the data, how likely would people visit this county.","Based on the forecasted data, do you think in the next month tourism will rise, fall, or stay the same?",Please estimate to the best of your ability the slope of the trend line for the shown forecast data.,"The graph you saw in VR showed you the tourism statistics for Wug county.






Rate your agreement with the following statements - Upon inspecting the data, I am fearful about the forecasted change in tourism.","The graph you saw in VR showed you the tourism statistics for Wug county.






Rate your agreement with the following statements - Upon inspecting the data, I am worried for the citizens of this county.","The graph you saw in VR showed you the tourism statistics for Wug county.






Rate your agreement with the following statements - Upon inspecting the data, I am concerned for the safety for the citizens of this county.","Rate the likeliness of the following statements - Upon inspecting the data, how likely are you to recommend changes for tourism in this county.","Rate the likeliness of the following statements - Upon inspecting the data, how likely would people visit this county.","Based on the forecasted data, do you think in the next month tourism will rise, fall, or stay the same?",Please estimate to the best of your ability the slope of the trend line for the shown forecast data.,"The graph you saw in VR showed you the tourism statistics for Osip county.






Rate your agreement with the following statements - Upon inspecting the data, I am fearful about the forecasted change in tourism.","The graph you saw in VR showed you the tourism statistics for Osip county.






Rate your agreement with the following statements - Upon inspecting the data, I am worried for the citizens of this county.","The graph you saw in VR showed you the tourism statistics for Osip county.






Rate your agreement with the following statements - Upon inspecting the data, I am concerned for the safety for the citizens of this county.","Rate the likeliness of the following statements - Upon inspecting the data, how likely are you to recommend changes for tourism in this county.","Rate the likeliness of the following statements - Upon inspecting the data, how likely would people visit this county.","Based on the forecasted data, do you think in the next month tourism will rise, fall, or stay the same?",Please estimate to the best of your ability the slope of the trend line for the shown forecast data.,"The graph you saw in VR showed you the tourism statistics for Fip county.






Rate your agreement with the following statements - Upon inspecting the data, I am fearful about the forecasted change in tourism.","The graph you saw in VR showed you the tourism statistics for Fip county.






Rate your agreement with the following statements - Upon inspecting the data, I am worried for the citizens of this county.","The graph you saw in VR showed you the tourism statistics for Fip county.






Rate your agreement with the following statements - Upon inspecting the data, I am concerned for the safety for the citizens of this county.","Rate the likeliness of the following statements - Upon inspecting the data, how likely are you to recommend changes for tourism in this county.","Rate the likeliness of the following statements - Upon inspecting the data, how likely would people visit this county.","Based on the forecasted data, do you think in the next month tourism will rise, fall, or stay the same?",Please estimate to the best of your ability the slope of the trend line for the shown forecast data.,"The graph you saw in VR showed you the tourism statistics for Gazzer county.






Rate your agreement with the following statements - Upon inspecting the data, I am fearful about the forecasted change in tourism.","The graph you saw in VR showed you the tourism statistics for Gazzer county.






Rate your agreement with the following statements - Upon inspecting the data, I am worried for the citizens of this county.","The graph you saw in VR showed you the tourism statistics for Gazzer county.






Rate your agreement with the following statements - Upon inspecting the data, I am concerned for the safety for the citizens of this county.","Rate the likeliness of the following statements - Upon inspecting the data, how likely are you to recommend changes for tourism in this county.","Rate the likeliness of the following statements - Upon inspecting the data, how likely would people visit this county.","Based on the forecasted data, do you think in the next month tourism will rise, fall, or stay the same?",Please estimate to the best of your ability the slope of the trend line for the shown forecast data.,How familiar are you with VR?,How often do you travel?,How much knowledge do you have about data visualization?,How often are you exposed to data visualization?,How aware are you about the flu season this year?,How aware are you about flu or COVID symptoms?,How aware are you about flu or COVID cases in other countries?,Are you scared of getting the flu or COVID?,"Do you do anything to prevent getting the flu or COVID? (ie wear mask, avoid crowded areas, etc)",Are you vaccinated for COVID?,Are you vaccinated for the flu?,Score
"{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID62""}","{""ImportId"":""QID1314991665_1""}","{""ImportId"":""QID1314991665_2""}","{""ImportId"":""QID1314991665_3""}","{""ImportId"":""QID1314991666_1""}","{""ImportId"":""QID1314991666_2""}","{""ImportId"":""QID1314991667""}","{""ImportId"":""QID1314991668""}","{""ImportId"":""QID1314991669_1""}","{""ImportId"":""QID1314991669_2""}","{""ImportId"":""QID1314991669_3""}","{""ImportId"":""QID1314991670_1""}","{""ImportId"":""QID1314991670_2""}","{""ImportId"":""QID1314991671""}","{""ImportId"":""QID1314991672""}","{""ImportId"":""QID1314991673_1""}","{""ImportId"":""QID1314991673_2""}","{""ImportId"":""QID1314991673_3""}","{""ImportId"":""QID1314991674_1""}","{""ImportId"":""QID1314991674_2""}","{""ImportId"":""QID1314991675""}","{""ImportId"":""QID1314991676""}","{""ImportId"":""QID97_1""}","{""ImportId"":""QID97_2""}","{""ImportId"":""QID97_3""}","{""ImportId"":""QID98_1""}","{""ImportId"":""QID98_2""}","{""ImportId"":""QID99""}","{""ImportId"":""QID137""}","{""ImportId"":""QID101_1""}","{""ImportId"":""QID101_2""}","{""ImportId"":""QID101_3""}","{""ImportId"":""QID102_1""}","{""ImportId"":""QID102_2""}","{""ImportId"":""QID103""}","{""ImportId"":""QID104""}","{""ImportId"":""QID105_1""}","{""ImportId"":""QID105_2""}","{""ImportId"":""QID105_3""}","{""ImportId"":""QID106_1""}","{""ImportId"":""QID106_2""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108""}","{""ImportId"":""QID1314991677_1""}","{""ImportId"":""QID1314991677_3""}","{""ImportId"":""QID1314991677_4""}","{""ImportId"":""QID1314991678_1""}","{""ImportId"":""QID1314991678_2""}","{""ImportId"":""QID1314991679""}","{""ImportId"":""QID1314991680""}","{""ImportId"":""QID113_1""}","{""ImportId"":""QID113_3""}","{""ImportId"":""QID113_4""}","{""ImportId"":""QID114_1""}","{""ImportId"":""QID114_2""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}","{""ImportId"":""QID117_1""}","{""ImportId"":""QID117_3""}","{""ImportId"":""QID117_4""}","{""ImportId"":""QID118_1""}","{""ImportId"":""QID118_2""}","{""ImportId"":""QID119""}","{""ImportId"":""QID120""}","{""ImportId"":""QID121_1""}","{""ImportId"":""QID121_3""}","{""ImportId"":""QID121_4""}","{""ImportId"":""QID122_1""}","{""ImportId"":""QID122_2""}","{""ImportId"":""QID123""}","{""ImportId"":""QID124""}","{""ImportId"":""QID125_1""}","{""ImportId"":""QID125_3""}","{""ImportId"":""QID125_4""}","{""ImportId"":""QID126_1""}","{""ImportId"":""QID126_2""}","{""ImportId"":""QID127""}","{""ImportId"":""QID128""}","{""ImportId"":""QID129_1""}","{""ImportId"":""QID129_3""}","{""ImportId"":""QID129_4""}","{""ImportId"":""QID130_1""}","{""ImportId"":""QID130_2""}","{""ImportId"":""QID131""}","{""ImportId"":""QID132""}","{""ImportId"":""QID63_24""}","{""ImportId"":""QID64_4""}","{""ImportId"":""QID65_5""}","{""ImportId"":""QID66_4""}","{""ImportId"":""QID67_4""}","{""ImportId"":""QID134_4""}","{""ImportId"":""QID135_4""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID73""}","{""ImportId"":""QID72""}","{""ImportId"":""SC_72qUo3l6fb81E7c""}"
23,Male,2,6,5,5,16,16,4,14,5,5,5,16,17,5,10,2,3,3,18,18,5,4,3,3,4,18,18,5,6,4,4,4,17,17,6,9,4,3,4,17,18,5,10,5,7,7,19,18,6,9,7,7,5,19,16,4,12,3,3,3,15,20,5,4,3,4,5,18,17,6,10,4,6,7,18,18,4,12,4,4,4,18,17,4,9,32,5,33,25,10,13,13,2,3,1,1,10
21,Male,2,7,7,6,15,18,4,16,6,6,6,14,20,4,15,1,2,2,19,14,5,4,1,5,4,18,17,5,4,4,6,6,15,19,6,9,5,5,6,15,19,6,10,2,3,4,18,19,4,12,1,4,4,15,18,4,13,7,6,4,20,15,5,4,7,5,4,20,15,5,5,3,1,1,19,18,6,9,4,2,2,19,17,6,9,32,5,33,26,9,12,9,1,3,1,2,17
22,Male,3,7,7,7,14,19,4,16,7,7,7,14,20,4,16,1,1,1,19,14,5,4,2,2,2,19,15,5,5,5,5,5,16,18,6,9,6,6,6,15,19,4,10,2,2,3,15,19,4,13,2,1,1,15,20,4,14,7,6,3,20,15,5,5,5,5,3,19,16,5,7,1,2,2,18,18,6,9,1,2,1,18,17,6,10,30,5,33,26,11,12,9,1,3,1,2,17
23,F,3,7,7,7,14,20,4,17,7,7,7,14,20,4,16,2,5,5,16,16,5,6,2,2,3,18,15,5,5,5,5,5,15,18,6,10,6,6,6,14,19,6,14,1,2,2,14,20,4,14,1,2,2,14,20,4,14,7,6,6,20,14,5,4,7,5,2,20,15,5,5,3,2,2,19,18,4,10,2,2,2,18,18,6,9,30,4,33,27,10,13,12,2,3,1,2,18
22,F,2,4,6,6,15,19,4,17,4,6,6,15,19,4,15,2,2,2,19,15,5,4,5,2,2,19,15,6,4,4,5,5,16,18,6,9,4,5,5,16,18,5,8,5,3,2,18,19,4,12,4,3,3,19,19,4,14,6,4,2,19,15,5,4,4,3,4,16,16,5,5,2,2,2,17,17,6,10,2,2,2,15,17,6,9,32,5,32,26,12,12,12,2,3,1,1,16
20,Male,2,6,4,3,17,18,4,17,7,6,7,15,19,4,17,3,4,4,18,16,5,6,2,7,7,15,19,5,5,2,5,5,17,18,6,9,2,5,5,17,17,4,14,2,2,2,15,19,4,9,2,5,5,15,20,4,14,5,4,4,18,18,5,4,2,6,6,17,20,5,5,2,4,4,16,19,6,9,2,2,2,17,16,6,13,31,4,32,25,9,10,9,2,2,1,2,17
20,Male,2,7,7,7,14,20,4,17,6,6,6,15,19,4,16,2,2,2,19,15,5,4,2,2,2,19,15,5,5,5,5,5,15,18,5,8,5,5,5,15,19,5,8,5,5,5,18,19,4,14,3,2,5,15,20,4,15,3,3,2,15,15,5,4,6,5,2,19,15,5,6,4,4,4,18,18,6,9,4,4,4,18,18,6,9,30,4,35,28,10,10,10,2,2,1,2,19
20,Female,2,7,5,5,14,20,4,16,6,6,6,15,20,4,15,3,5,5,16,18,5,6,2,5,5,18,15,5,6,5,6,6,15,18,4,10,6,6,6,15,19,4,15,3,5,5,16,19,4,14,2,4,4,16,19,4,10,6,1,1,19,15,5,5,5,2,2,19,16,5,8,2,3,3,16,18,4,10,3,2,2,16,18,6,9,32,5,32,24,12,13,12,2,1,1,1,11
